tanggal,temperatur_rata,kelembapan_rata,curah_hujan,lamanya_penyinaran_matahari,kecepatan_angin_rata,cuaca
2022-01-01,28.2,80.0,0.7,5.1,3.0,Hujan Ringan
2022-01-02,27.9,82.0,0.0,8.5,2.0,Cerah
2022-01-03,28.9,79.0,3.4,3.2,2.0,Hujan Ringan
2022-01-04,28.2,74.0,3.4,9.1,1.0,Hujan Ringan
2022-01-05,28.5,76.0,0.0,5.1,1.0,Cerah
2022-01-06,28.7,80.0,3.0,5.7,1.0,Hujan Ringan
2022-01-07,28.6,78.0,0.8,4.8,2.0,Hujan Ringan
2022-01-08,28.4,77.0,1.3,8.4,2.0,Hujan Ringan
2022-01-09,28.0,83.0,3.4,8.9,2.0,Hujan Ringan
2022-01-10,27.8,84.0,1.0,1.6,2.0,Hujan Ringan
2022-01-11,25.6,92.0,8.0,2.3,1.0,Hujan Ringan
2022-01-12,25.9,91.0,27.2,2.5,2.0,Hujan Sedang
2022-01-13,26.5,86.0,29.0,2.4,2.0,Hujan Sedang
2022-01-14,26.7,86.0,6.5,2.5,1.0,Hujan Ringan
2022-01-15,26.5,86.0,0.8,0.7,2.0,Hujan Ringan
2022-01-16,27.0,86.0,3.4,0.9,1.0,Hujan Ringan
2022-01-17,27.7,83.0,3.4,0.0,2.0,Hujan Ringan
2022-01-18,26.4,88.0,3.0,4.1,1.0,Hujan Ringan
2022-01-19,27.4,84.0,1.5,0.0,2.0,Hujan Ringan
2022-01-20,25.5,89.0,6.5,6.2,2.0,Hujan Ringan
2022-01-21,26.5,84.0,6.0,0.7,2.0,Hujan Ringan
2022-01-22,26.9,85.0,1.9,6.7,1.0,Hujan Ringan
2022-01-23,28.8,78.0,7.5,4.6,2.0,Hujan Ringan
2022-01-24,28.8,74.0,3.4,9.8,3.0,Hujan Ringan
2022-01-25,29.1,76.0,0.0,9.3,3.0,Cerah
2022-01-26,27.4,84.0,3.8,6.7,1.0,Hujan Ringan
2022-01-27,28.4,78.0,1.5,1.7,2.0,Hujan Ringan
2022-01-28,27.3,85.0,0.0,8.1,2.0,Cerah
2022-01-29,27.2,84.0,33.2,3.2,1.0,Hujan Sedang
2022-01-30,27.5,82.0,3.4,3.0,1.0,Hujan Ringan
2022-01-31,27.9,78.0,3.4,1.9,1.0,Hujan Ringan
